Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Tonga,TON,Forest area (% of land area),AG.LND.FRST.ZS,12.4305555555556,12.4305555555556,..
Trinidad and Tobago,TTO,Forest area (% of land area),AG.LND.FRST.ZS,44.3996101364522,44.317738791423,..
Tunisia,TUN,Forest area (% of land area),AG.LND.FRST.ZS,4.53308444902163,4.54293254376931,..
Turkiye,TUR,Forest area (% of land area),AG.LND.FRST.ZS,29.0741785013578,29.2768733027559,..
Turkmenistan,TKM,Forest area (% of land area),AG.LND.FRST.ZS,8.78215904496414,8.78215904496414,..
Turks and Caicos Islands,TCA,Forest area (% of land area),AG.LND.FRST.ZS,11.0736842105263,11.0736842105263,..
Tuvalu,TUV,Forest area (% of land area),AG.LND.FRST.ZS,33.3333333333333,33.3333333333333,..
Uganda,UGA,Forest area (% of land area),AG.LND.FRST.ZS,11.4534375623379,11.2477114502294,..
Ukraine,UKR,Forest area (% of land area),AG.LND.FRST.ZS,16.7345529858474,16.7449085260614,..
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,4.46775556181357,4.46775556181357,..
United Kingdom,GBR,Forest area (% of land area),AG.LND.FRST.ZS,13.2214553796553,13.2554871243748,..
United States,USA,Forest area (% of land area),AG.LND.FRST.ZS,33.8669264120375,33.8669264120375,..
Upper middle income,UMC,Forest area (% of land area),AG.LND.FRST.ZS,28.8669972525883,28.8459932872803,..
Uruguay,URY,Forest area (% of land area),AG.LND.FRST.ZS,11.7243743572163,11.8443606444978,..
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,8.43180461723851,8.49046413042492,..
Vanuatu,VUT,Forest area (% of land area),AG.LND.FRST.ZS,36.2838392124692,36.2838392124692,..
"Venezuela, RB",VEN,Forest area (% of land area),AG.LND.FRST.ZS,52.3477807380534,52.2949719403662,..
Viet Nam,VNM,Forest area (% of land area),AG.LND.FRST.ZS,46.9611618580284,47.203321964464,..
